0:18   -   https://shop.mango.com/co/mujer/destacados/rebajas_d14760544
    0:18:23   -   300 products. (Page 1)
      + 0:18:23   -   Cazadora piel bolsillos
      + 0:18:23   -   Vestido camisero efecto piel
      + 0:18:23   -   Jeans skinny crop Isa encerado
      + 0:18:23   -   Vestido estampado cinturón
      + 0:18:23   -   Pantalón pinzas algodón
      + 0:18:23   -   Jersey punto plisado 
      + 0:18:23   -   Pantalón pinzas algodón
      + 0:18:23   -   Chubasquero embolsable water repellent
      + 0:18:23   -   Vestido pliegues decorativos
      + 0:18:23   -   Jeans slouchy pinzas 
      + 0:18:23   -   Americana traje estructurada
      + 0:18:23   -   Top punto asimétrico
      + 0:18:23   -   Americana traje modal
      + 0:18:23   -   Jeans slouchy pinzas 
      + 0:18:23   -   Falda lápiz efecto piel
      + 0:18:23   -   Vestido plisado lurex
      + 0:18:23   -   Sobrecamisa lyocell bolsillos
      + 0:18:23   -   Vestido camisero algodón
      + 0:18:23   -   Jersey punto combinado relieve
      + 0:18:23   -   Vestido camisero lino
      + 0:18:23   -   Americana entallada crepé
      + 0:18:23   -    Camiseta hombreras algodón orgánico
      + 0:18:23   -   Vestido camisero midi
      + 0:18:23   -   Cárdigan plisado largo
      + 0:18:23   -   Camisa algodón cuello babydoll
      + 0:18:23   -   Vestido pliegues fluido
      + 0:18:23   -   Chaqueta oversize algodón
      + 0:18:23   -   Pantalón 100% lyocell
      + 0:18:23   -   Pantalón 100% lyocell
      + 0:18:23   -   Abrigo cruzado textura
      + 0:18:23   -   Vestido detalles plisados
      + 0:18:23   -   Vestido estampado paisley
      + 0:18:23   -   Chaleco algodón cruzado
      + 0:18:23   -   Minifalda efecto piel
      + 0:18:23   -   Pantalón jogger algodón
      + 0:18:23   -   Pantalón recto efecto piel
      + 0:18:23   -   Camisa algodón cuello babydoll
      + 0:18:23   -   Jersey espalda cruzada
      + 0:18:23   -   Sudadera algodón cuello chimenea
      + 0:18:23   -   Camisa denim algodón
      + 0:18:23   -    Camiseta hombreras algodón orgánico
      + 0:18:23   -   Cárdigan punto combinado relieve
      + 0:18:23   -   Cárdigan punto botones
      + 0:18:23   -   Chaleco tweed bolsillos
      + 0:18:23   -   Blusa textura lazo
      + 0:18:23   -   Sandalia cuña tiras
      + 0:18:23   -   Americana efecto piel cruzada
      + 0:18:23   -   Blusa fluida estampada
      + 0:18:23   -   Vestido camisero cinturón
      + 0:18:23   -   Vestido fluido estampado
      + 0:18:23   -   Cárdigan rayas botones
      + 0:18:23   -   Trench lyocell fluido
      + 0:18:23   -   Pantalón pitillo traje
      + 0:18:23   -   Vestido punto lurex
      + 0:18:23   -   Cárdigan punto relieve
      + 0:18:23   -   Sudadera oversize algodón 
      + 0:18:23   -   Vestido estampado floral
      + 0:18:23   -   Jeans skinny push-up Kim
      + 0:18:23   -   Pantalón fluido plisado
      + 0:18:23   -   Vestido estampado tirantes
      + 0:18:23   -   Blusa estampado floral
      + 0:18:23   -   Camiseta algodón calados
      + 0:18:23   -   Americana traje estructura
      + 0:18:23   -   Americana traje estructura
      + 0:18:23   -   Jeans Balloon tiro alto
      + 0:18:23   -   Pantalón jogger punto
      + 0:18:23   -   Vestido hombreras textura
      + 0:18:23   -   Pantalón recto efecto piel
      + 0:18:23   -   Jersey punto algodón
      + 0:18:23   -   Mono estampado lunares
      + 0:18:23   -   Body canalé manga larga
      + 0:18:23   -   Vestido textura volante
      + 0:18:23   -   Blusa fruncida calados
      + 0:18:23   -   Vestido estampado floral volante
      + 0:18:23   -   Vestido fluido plisado
      + 0:18:23   -   Jersey rayas algodón
      + 0:18:23   -   Sobrecamisa lana oversize
      + 0:18:23   -   Jeans tiro alto Wideleg
      + 0:18:23   -   Jeans tiro alto Wideleg
      + 0:18:23   -   Camisa popelín oversize
      + 0:18:24   -   Abrigo lana oversize
      + 0:18:24   -   Pantalón estampado tropical
      + 0:18:24   -   Top crop fruncido
      + 0:18:24   -   Blusa algodón orgánico calados
      + 0:18:24   -   Sandalia piel plataforma
      + 0:18:24   -   Botín piel tacón
      + 0:18:24   -   Camisa popelín oversize
      + 0:18:24   -   Jersey cuello cremallera
      + 0:18:24   -   Sobrecamisa cuadros oversize
      + 0:18:24   -   Mono cinturón lunares
      + 0:18:24   -   Pantalón modal cintura elástica
      + 0:18:24   -   Vestido floral volante
      + 0:18:24   -   Sobrecamisa lyocell bolsillos
      + 0:18:24   -   Americana estampado tropical
      + 0:18:24   -   Botín piel serraje
      + 0:18:24   -   Vestido lino volantes
      + 0:18:24   -   Camiseta jaspeada manga larga
      + 0:18:24   -   Sobrecamisa charol bolsillos
      + 0:18:24   -   Americana cruzada lino
      + 0:18:24   -   Pantalón pitillo traje
      + 0:18:24   -   Blusa algodón plumeti
      + 0:18:24   -   Polo calado
      + 0:18:24   -   Vestido estampado midi
      + 0:18:24   -   Vestido plisado estampado
