21:10   -   https://shop.mango.com/co/mujer/destacados/nuevo_d18713172
    21:10:37   -   38 products. (Page 1)
      + 21:10:42   -   Minifalda algodón estampada
      + 21:10:47   -   Pantalón pinzas algodón
      + 21:10:51   -   Vestido lencero estampado
      + 21:10:56   -   Collar cadenas combinadas
      + 21:10:58   -   Vestido cuello babydoll
      + 21:11:1   -   Vestido lencero estampado
      + 21:11:4   -   Gafas de sol retro
      + 21:11:8   -   Bolso shopper fruncido
      + 21:11:8   -   Sandalia acolchada tacón
      + 21:11:9   -   Pendientes aros
      + 21:11:9   -   Vestido camisero estampado
      + 21:11:10   -   Pendientes aros
      + 21:11:10   -   Vestido camisero midi
      + 21:11:11   -   Collar cadena abalorio
      + 21:11:11   -   Vestido bajo asimétrico
      + 21:11:11   -   Camisa algodón oversize
      + 21:11:11   -   Vestido camisero oversize
      + 21:11:12   -   Camisa algodón pinzas
      + 21:11:12   -   Camisa básica algodón
      + 21:11:13   -   Bolso cruzado bolsillos
      + 21:11:14   -   Pantalón bajo vuelto
      + 21:11:14   -   Camisa algodón bolsillo
      + 21:11:15   -   Peto denim costuras contraste
      + 21:11:15   -   Pendientes aros irregulares
      + 21:11:15   -   Zueco detalle acolchado
      + 21:11:15   -   Pulsera detalle nudo
      + 21:11:16   -   Camisa algodón crop
      + 21:11:16   -   Camisa algodón crop
      + 21:11:16   -   Vestido camisero oversize
      + 21:11:16   -   Pantalón culotte punto
      + 21:11:16   -   Bolso baguette doble asa
      + 21:11:17   -   Camisa algodón oversize
      + 21:11:17   -   Mono algodón cinturón
      + 21:11:17   -   Vestido camisero algodón
      + 21:11:17   -   Short denim Paperbag 
      + 21:11:18   -   Anillo detalle nudo
      + 21:11:18   -   Cinturón piel hebilla
      + 21:11:18   -   Bolso baguette fruncido
21:12   -   https://shop.mango.com/co/mujer/destacados/key-trends_d21332319
    21:12:1   -   27 products. (Page 1)
      + 21:12:3   -   Anorak ultralight botones
      + 21:12:4   -   Bolso acolchado multiposición
      + 21:12:4   -   Chaleco ultralight cremallera
      + 21:12:5   -   Gorro bucket efecto piel
      + 21:12:6   -   Bolso cruzado solapa
      + 21:12:6   -   Bolso shopper acolchado
      + 21:12:6   -   Zueco detalle acolchado
      + 21:12:6   -   Anorak ultralight botones
      + 21:12:6   -   Bolso cadena acolchado
      + 21:12:7   -   Chaleco ultralight cremallera
      + 21:12:7   -   Anorak acolchado
      + 21:12:7   -   Anorak ultralight botones
      + 21:12:8   -   Gorro bucket efecto piel
      + 21:12:8   -   Bolso shopper acolchado
      + 21:12:8   -   Anorak acolchado botones
      + 21:12:9   -   Gorro bucket acolchado
      + 21:12:9   -   Anorak acolchado cremallera
      + 21:12:9   -   Funda portátil acolchada
      + 21:12:9   -   Zueco detalle acolchado
      + 21:12:10   -   Anorak acolchado cremallera
      + 21:12:10   -   Bolso tote acolchado
      + 21:12:10   -   Bolso cruzado solapa
      + 21:12:10   -   Bolso tote acolchado
      + 21:12:10   -   Anorak acolchado botones
      + 21:12:11   -   Bolso shopper acolchado
      + 21:12:11   -   Funda portátil acolchada
      + 21:12:11   -   Chaleco acolchado capucha
21:12   -   https://shop.mango.com/co/mujer/destacados/accessories-edition_d12759120
    21:12:53   -   31 products. (Page 1)
      + 21:12:54   -   Clutch textura borreguito
      + 21:12:54   -   Gafas de sol montura metálica
      + 21:12:54   -   Botín piel plataforma
      + 21:12:54   -   Gafas de sol cat-eye
      + 21:12:54   -   Bufanda terminaciones flecos
      + 21:12:55   -   Set pendientes combinados
      + 21:12:55   -   Cinturón hebilla metálica
      + 21:12:55   -   Botín tacón punta
      + 21:12:55   -   Set pulseras relieve
      + 21:12:55   -   Collar cadena colgante
      + 21:12:56   -   Botín piel tacón
      + 21:12:56   -   Set 2 anillos combinados
      + 21:12:56   -   Anillo asimétrico cristal
      + 21:12:56   -   Cinturón cierre nudo
      + 21:12:56   -   Botín piel punta
      + 21:12:57   -   Pendientes aros relieve
      + 21:12:57   -   Bolso shopper coco
      + 21:12:57   -   Botín piel tacón
      + 21:12:57   -   Pañuelo estampado
      + 21:12:57   -   Cinturón elástico 
      + 21:12:58   -   Cinturón hebilla relieve
      + 21:12:58   -   Pañuelo efecto piel
      + 21:12:58   -   Set pulseras combinadas
      + 21:12:58   -   Collar cadena colgante
      + 21:12:58   -   Botín piel punta
      + 21:12:59   -   Bolso piel cadena
      + 21:12:59   -   Set 3 anillos combinados
      + 21:13:0   -   Cinturón hebilla metálica
      + 21:13:1   -   Bolso piel baguette
      + 21:13:1   -   Bolso capazo diseño geométrico
      + 21:13:2   -   Gorra visera
21:13   -   https://shop.mango.com/co/mujer/destacados/essential-prices_d13453711
    21:13:51   -   300 products. (Page 1)
      + 21:13:52   -   Vestido canalé cinturón
      + 21:13:52   -   Cazadora biker cremalleras
      + 21:13:52   -   Camisa básica algodón
      + 21:13:52   -   Vestido textura estampado
      + 21:13:52   -   Falda lápiz efecto piel
      + 21:13:53   -   Blusa manga abullonada
      + 21:13:53   -   Vestido estampado abertura 
      + 21:13:53   -   Vestido algodón abertura
      + 21:13:53   -   Jersey punto cuello vuelto
      + 21:13:53   -   Vestido lino cinturón
      + 21:13:54   -   Camisa rayas oversize
      + 21:13:54   -   Vestido canalé cinturón
