··········9 - 26··········
13:1   -   1 productos  -  https://www.zara.com/co/es/origins-collection-l4661.html
    + 13:1:20   -   ABRIGO CRUZADO
13:2   -   211 productos  -  https://www.zara.com/co/es/mujer-blazers-l1055.html
    + 13:2:20   -   BLAZER ENTALLADA CUADROS
X 13:2:20   -   'commercialComponents'
    + 13:2:20   -   CHALECO BOTONES DORADOS
    + 13:2:20   -   BLAZER RECTA
    + 13:2:21   -   CHALECO LARGO CRUZADO
    + 13:2:21   -   BLAZER ENTALLADA JASPEADA
    + 13:2:21   -   CHAQUETA  BOTONES METÁLICOS
    + 13:2:21   -   CHAQUETA  BOTONES METÁLICOS
    + 13:2:21   -   BLAZER ESTRUCTURA CUADROS
    + 13:2:21   -   BLAZER ESTRUCTURA CRUZADA
    + 13:2:21   -   BLAZER EFECTO PIEL
    + 13:2:22   -   BLAZER SMOKING
    + 13:2:22   -   BLAZER SMOKING
    + 13:2:22   -   BLAZER TRABILLAS
    + 13:2:22   -   BLAZER FLUIDA
    + 13:2:22   -   BLAZER EFECTO PIEL
    + 13:2:22   -   BLAZER EFECTO PIEL
    + 13:2:22   -   BLAZER TRABILLAS
    + 13:2:23   -   BLAZER BÁSICA
    + 13:2:23   -   BLAZER CRUZADA EFECTO PIEL
    + 13:2:23   -   CHAQUETA BOTONES METÁLICOS
    + 13:2:23   -   CHAQUETA ESTRUCTURA BOLSILLOS
    + 13:2:23   -   CHAQUETA BOTONES METÁLICOS
    + 13:2:23   -   BLAZER CRUZADA HOMBRERA
    + 13:2:23   -   BLAZER CRUZADA HOMBRERA
    + 13:2:24   -   BLAZER EFECTO PIEL
    + 13:2:24   -   BLAZER CRUZADA JACQUARD
    + 13:2:24   -   BLAZER LARGA CRUZADA
    + 13:2:24   -   BLAZER ESTRUCTURA CRUZADA
    + 13:2:24   -   BLAZER ENTALLADA PATA DE GALLO
    + 13:2:24   -   BLAZER CODERAS CON LANA
    + 13:2:24   -   BLAZER CODERAS CON LANA
    + 13:2:25   -   BLAZER CODERAS CON LANA
    + 13:2:25   -   BLAZER EFECTO PIEL BOTONES
    + 13:2:25   -   BLAZER EFECTO PIEL BOTONES
    + 13:2:25   -   BLAZER RECTA CRUZADA
    + 13:2:25   -   BLAZER ESTRUCTURA BOTONES
    + 13:2:25   -   BLAZER ESTRUCTURA CRUZADA
    + 13:2:25   -   BLAZER ESTRUCTURA ENTALLADA
X 13:2:25   -   'familyName'
    + 13:2:26   -   BLAZER ESTRUCTURA ENTALLADA
    + 13:2:26   -   CHALECO ABERTURAS
    + 13:2:26   -   CHALECO ABERTURAS
    + 13:2:26   -   BLAZER MANGA REMANGADA
    + 13:2:26   -   BLAZER ENTALLADA
    + 13:2:26   -   BLAZER TERCIOPELO LIMITED EDITION
    + 13:2:26   -   BLAZER EFECTO PIEL BOTONES
    + 13:2:27   -   BLAZER CRUZADA OVERSIZE
    + 13:2:27   -   BLAZER PUÑO ESTAMPADO
    + 13:2:27   -   BLAZER CRUZADA OVERSIZE
    + 13:2:27   -   BLAZER CRUZADA OVERSIZE
    + 13:2:27   -   BLAZER CRUZADA OVERSIZE
    + 13:2:27   -   BLAZER SMOKING
    + 13:2:27   -   BLAZER OVERSIZE MASCULINA
    + 13:2:28   -   BLAZER OVERSIZE MASCULINA
    + 13:2:28   -   BLAZER BÁSICA
    + 13:2:28   -   BLAZER BÁSICA
    + 13:2:28   -   BLAZER LARGA SOLAPA INVERTIDA
    + 13:2:28   -   BLAZER LARGA RÚSTICA
    + 13:2:28   -   BLAZER PATA DE GALLO
    + 13:2:28   -   BLAZER ENTALLADA CRUZADA
    + 13:2:29   -   BLAZER ENTALLADA CRUZADA
    + 13:2:29   -   BLAZER CON LINO CUADROS
    + 13:2:29   -   BLAZER CRUZADA ENTALLADA
    + 13:2:29   -   BLAZER CRUZADA ENTALLADA
    + 13:2:29   -   CHAQUETA ESTRUCTURA
    + 13:2:29   -   BLAZER ESTRUCTURA
    + 13:2:29   -   BLAZER ESTRUCTURA
    + 13:2:30   -   CHAQUETA ESTRUCTURA
    + 13:2:30   -   BLAZER LARGA CRUZADA
    + 13:2:30   -   BLAZER LARGA CRUZADA
    + 13:2:30   -   BLAZER LARGA CRUZADA
    + 13:2:30   -   BLAZER LARGA CRUZADA
    + 13:2:30   -   BLAZER LARGA CRUZADA
    + 13:2:30   -   BLAZER CODERAS CON LANA
    + 13:2:31   -   BLAZER TERCIOPELO LIMITED EDITION
    + 13:2:31   -   CHAQUETA CRUZADA ESTRUCTURA
    + 13:2:31   -   BLAZER BÁSICA
    + 13:2:31   -   BLAZER BÁSICA
    + 13:2:31   -   BLAZER ESTRUCTURA SIN SOLAPA
    + 13:2:31   -   BLAZER CRUZADA ESTRUCTURA
    + 13:2:31   -   BLAZER MANGA REMANGADA
    + 13:2:32   -   BLAZER MANGA REMANGADA
    + 13:2:32   -   BLAZER ENTALLADA PATA DE GALLO
    + 13:2:32   -   BLAZER BOTÓN
    + 13:2:32   -   BLAZER CRUZADA
    + 13:2:32   -   BLAZER CRUZADA
    + 13:2:32   -   BLAZER CRUZADA
    + 13:2:32   -   BLAZER CRUZADA CINTURÓN
    + 13:2:33   -   BLAZER LARGA SOLAPA INVERTIDA
    + 13:2:33   -   BLAZER SIN SOLAPA
